Source Language,Formatted Translations,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,ullr ullinn,1. you<br>2. ullr<br>3. you<br>4. ull ull<br>5. in a<br>6. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,ullr ullinn,1. seat<br>2. olive<br>3. olive oil<br>4. olive oil<br>5. ulr ul<br>6. olive oil<br>7. olive tree<br>8. olive oil<br>9. n N<br>10. linn<br>11. olive<br>12.  olive,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,ullr ullinn,1. ullr<br>2. ulr u<br>3. ulr ul<br>4. ulr ulli<br>5. ulr ullin<br>6. ulr ullinn<br>7. ulr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,ullr ulinn,1. u:<br>2. street:<br>3. ull:<br>4. ullr:<br>5. ullr:<br>6. ullr u:<br>7. ullr ul:<br>8. ullr uli:<br>9. ullr ulin:<br>10. ullr ulinn:<br>11. nn:<br>12. inn:<br>13. Linn:<br>14. ulin:<br>15.  ulin:<br>16. r ulinn:<br>17. lr ulinn:<br>18. llr ulinn:<br>19. ullr ulinn:,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Aymara,ullr ullinn ukat jukâ€™ampinaka,1. ullr<br>2. ullr ullinn<br>3. ullr ullinn the<br>4. ullr ullinn and<br>5. ullr ullinn and<br>6. ullr ullinn j<br>7. ullr ullinn and ju<br>8. ullr ullinn and more<br>9. ullr ullinn .<br>10. ullr ullinn short<br>11. ullr ullinn and more<br>12. ullr ullinn and more<br>13. ullr ullinn<br>14. ullr ullinn and above<br>15. ullr ullinn and so on<br>16. ullr ullinn and so on<br>17. ullr ullinn<br>18. this<br>19. roughly<br>20. inanaka<br>21. â€™amps<br>22. kâ€™ampis<br>23. and others<br>24. several<br>25.  several<br>26. t slightly less<br>27. at others<br>28. cat and others<br>29. and so on<br>30.  and so on<br>31. n and so on<br>32. nn and so on<br>33. inn and so on<br>34. linn and others<br>35. llinn and others<br>36. ullinn and so on<br>37.  ullinn and so on<br>38. r ullinn snowflakes<br>39. lr ullinn<br>40. llr ullinn<br>41. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijani,ullr ullinn,1. ullr<br>2. ull ull ull<br>3. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Basque,ullr ullinn,1. ullr<br>2. ullr ull<br>3. ullin<br>4.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Belarusian,ÑƒÐ»Ð»Ñ€ ÑƒÐ»Ñ–Ð½Ð½,1. in<br>2. str<br>3. St<br>4. ulr<br>5. ulr<br>6. ullr u<br>7. Ullr st<br>8. Ullr Uli<br>9. Ullr Ulin<br>10. ullr ulinn<br>11. nn<br>12. etc<br>13. linn<br>14. Ulynn<br>15.  Ulynn<br>16. r ulinn<br>17. lr ulinn<br>18. llr ulinn<br>19. ullr ulinn,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Bhojpuri,ullr ullinn à¤•à¥‡ à¤¬à¤¾,1. ullr<br>2. ullr ullinn<br>3. ullr ullinn a<br>4. of ullr ullinn<br>5. of ullr ullinn<br>6. ullr ullinn b<br>7. ullr ullinn<br>8. There is<br>9.  There is<br>10. à¥‡ b<br>11. Who is the<br>12.  Who is the<br>13. n of the b<br>14. nn of the b<br>15. of the inn<br>16. linn of the b<br>17. of llinn<br>18. of ullinn<br>19.  of ullinn<br>20. of r ullinn<br>21. lr ullinn<br>22. llr ullinn<br>23. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnian,ullr ullinn,1. in<br>2. st<br>3. ullr<br>4. ullr st,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgarian,ullr ullinn,1. street<br>2. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Catalan,ullr ullinn,1. street<br>2. eye<br>3. eye<br>4. eye<br>5. look at you<br>6. look look<br>7. eye eye<br>8. look look<br>9. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Cebuano,ullr ullinn,1. ullr<br>2. ullrr u<br>3. linn<br>4. ullin<br>5.  ullin<br>6. lr ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Nyanja (Chichewa),uwu uln,1. ugh<br>2. this<br>3. this<br>4. this u<br>5. this street<br>6. this uln<br>7. ul<br>8.  ul<br>9. wu ul<br>10. this uln,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese (Simp),ä¹Œå°”å‹’ä¹Œæž—,1. black<br>2. Ur<br>3. urle<br>4. urleu<br>5. urleullin<br>6. Ulin<br>7. Leulin<br>8. Erleulin<br>9. urleullin,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese (Trad),çƒçˆ¾å‹’çƒæž—,1. black<br>2. Ur<br>3. urle<br>4. urleu<br>5. urleullin<br>6. Ulin<br>7. Leulin<br>8. Erleulin<br>9. urleullin,,,,,,,,,,,,,,,,,,,,,,,,,
Corsican,ullr ullinn,1. ullr<br>2. ull<br>3. lol lol<br>4. ullrr ulli<br>5. ulrr ullin<br>6. no<br>7. linn<br>8. ullin<br>9.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian,ullr ullinn,1. in<br>2. st<br>3. ullr<br>4. ullr st,,,,,,,,,,,,,,,,,,,,,,,,,
Czech,ullr ullinn,1. at<br>2. hive<br>3. ullr<br>4. ullrr u<br>5. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Danish,ullr ullinn,1. street<br>2. wool<br>3. ullr<br>4. ulrr u<br>5. wooll wooll<br>6. ullrr ulli<br>7. ullr woollin<br>8. no<br>9. in<br>10. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Dhivehi,ullr ullinn Þ‡Þ¬ÞˆÞ¬,1. ullr<br>2. ullr ullinn<br>3. ullr ullinn a<br>4. ullr ullinn a<br>5. ullr ullinn av<br>6. ullr ullinn<br>7. V.S<br>8. s<br>9. is the source<br>10.  is the source<br>11. n is the source<br>12. nn is the source<br>13. inn is the source<br>14. linn is the source<br>15. llinn is the source<br>16. ullinn is the source<br>17.  ullinn is the source<br>18. r ullinn<br>19. lr ullinn<br>20. llr ullinn<br>21. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Dogri,à¤‰à¤²à¥à¤²à¤° à¤‰à¤²à¥à¤²à¥€à¤¨,1. A<br>2. UL<br>3. Ul<br>4. Ull<br>5. Ullar<br>6. Ullar<br>7. Ullar u<br>8. Ullar ul<br>9. Ullar ul<br>10. Ullar Ull<br>11. Ullar Ulli<br>12. Ullar Ullin<br>13. sn<br>14. Absorbed<br>15. slin<br>16. Lleen<br>17. Ullin<br>18.  Ullin<br>19. and Ullin<br>20. Lar Ullin<br>21. LR Ullin<br>22. Llr Ullin<br>23. Ullar Ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch,ullr ullinn,1. you<br>2. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Esperanto,ullr ullinn,1. ullr<br>2. ullrr u<br>3. ullrr ull<br>4. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Estonian,ullr ullinn,1. approx<br>2. exercise<br>3. ullr<br>4. ullr approx<br>5. lol lol<br>6. ullr ullr<br>7. the so-called<br>8. city<br>9. city<br>10. ullin<br>11.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Filipino,ullr ullinn,1. st<br>2. ullr<br>3. ullrr u<br>4. ullrr ull<br>5. ullrr ulli<br>6. ullrr ullin<br>7. linn<br>8. ullin<br>9.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish,ullr ullinn,1. street<br>2. ullr<br>3. lol lol<br>4. the so-called<br>5. city<br>6. linn<br>7. ullin<br>8.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
French,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Frisian,ullr ullinn,1. st<br>2. ullr<br>3. ull<br>4. ull ull<br>5. in<br>6. linn<br>7. ullin<br>8.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Galician,ullr ullinn,1. you<br>2. street<br>3. ullr<br>4. ulrr u<br>5. ullrr ull<br>6. ullrr ull<br>7. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Georgian,áƒ£áƒšáƒ  áƒ£áƒšáƒ˜áƒœáƒ˜,1. U<br>2. Ul<br>3. Ulr<br>4. Ulr<br>5. Ulr U<br>6. Ulr Ul<br>7. Ulr Ul<br>8. Ulr Ulin<br>9. Ulr Ulin<br>10. No<br>11. Ini<br>12. Lynn<br>13. Ulin<br>14.  Ulin<br>15. R. Ulin<br>16. LR Ulin<br>17. Ulr Ulin,,,,,,,,,,,,,,,,,,,,,,,,,
German,ulr ullinn,1. ulr,,,,,,,,,,,,,,,,,,,,,,,,,
Goan Konkani,ullr ullinn à¤¹à¥‡à¤‚ à¤¨à¤¾à¤‚à¤µ,1. ullr<br>2. ullr ullinn<br>3. ullr is ullinn<br>4. ullr ullinn<br>5. ullr ullinn<br>6. ullr ullinn<br>7. ullr ullinn n<br>8. ullr ullinn is not<br>9. ullr ullinn<br>10. ullr ullinn<br>11. à¤‚v<br>12. s.v<br>13. name<br>14.  name<br>15. s name<br>16. s name<br>17. This is the name<br>18.  This is the name<br>19. n is the name<br>20. nn is the name<br>21. The name of the inn<br>22. linn is the name<br>23. llinn is the name<br>24. ullinn is the name<br>25.  ullinn is the name<br>26. r ullinn the name<br>27. lr ullinn the name<br>28. llr ullinn<br>29. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Guarani,ullr ullinn rehegua,1. consume<br>2. ullr<br>3. ullr ullinn<br>4. ullr ullinn on<br>5. ullr ullinn for<br>6. ullr ullinn<br>7. ullr ullinn<br>8. of<br>9. of the sword<br>10. of the sword<br>11. items<br>12.  items<br>13. n of the universe<br>14. nn of the<br>15. inn of the<br>16. linn of the snow<br>17. llinn of the snow<br>18. of the ullinn<br>19.  of the ullinn<br>20. r ullinn of the<br>21. lr ullinn of the<br>22. llr ullinn<br>23. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Greek,ullr ullinn,1. ullr<br>2. ullin<br>3.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Haitian Creole,ullr ullinn,1. ullr<br>2. ull ull<br>3. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Hausa,ullr ullin,1. ullr<br>2. ulrr u<br>3. ullrr ull<br>4. ullrr ulli<br>5. ullrr ullin<br>6. if<br>7. Lin<br>8. ullrr ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaiian,ullr ullinn,1. ullr<br>2. ullrr u<br>3. no<br>4. linn<br>5. ullin<br>6.  ullin<br>7. r ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew,ullr ullinn,1. ullr<br>2. Ullin<br>3.  Ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Hindi,ulr ullinn,1. ulr<br>2. ulr ullin<br>3. linn<br>4. ullin<br>5.  ullin<br>6. r ullin<br>7. lr ullin<br>8. ulr ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Hmong,ua ullinn,1. do<br>2. do<br>3. do u<br>4. ul<br>5. ull<br>6. do ulli<br>7. do ullin<br>8. do ullinn<br>9. linn<br>10. ullin<br>11.  ullin<br>12. a ullin<br>13. do ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Hungarian,ullr ullinn,1. ullr<br>2. ullrr ulli<br>3. ullin<br>4.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Icelandic,ullr ullinn,1. wool<br>2. wool<br>3. wool<br>4. wool wool<br>5. wool wool<br>6. wool wool<br>7. wool wool wool<br>8. in<br>9. linn<br>10. the wool<br>11.  the wool<br>12. r the wool<br>13. lr wool<br>14. llr wool<br>15. wool wool wool,,,,,,,,,,,,,,,,,,,,,,,,,
Ilocano,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Igbo,ulr ullin,1. st<br>2. url<br>3. url<br>4. ull ull,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,ulll ullinn,1. ulll<br>2. ull ull<br>3. linnn,,,,,,,,,,,,,,,,,,,,,,,,,
Irish,ullr ullinn,1. Apple<br>2. ullr<br>3. ullr ullin<br>4. us<br>5. llin<br>6. angle<br>7.  angle<br>8. angle<br>9. lr angle<br>10. llr angle<br>11. ullr ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Italian,ullr ullinn,1. ullr<br>2. no,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese,ã†ãƒ¼ã‚“ã€ã‚¦ãƒªãƒ³,1. cormorant<br>2. Ugh<br>3. Hmm<br>4. Hmm,<br>5. Hmm, wow<br>6. Hmm, uri<br>7. Hmm, Urin<br>8. Rin<br>9. Urin<br>10. , Urin<br>11. Hmm, Urin<br>12. Hmm, Urin.<br>13. Hmm, Urin,,,,,,,,,,,,,,,,,
Javanese,ullr ullinn,1. st<br>2. ullr<br>3. ull ull<br>4. ullrr ullin<br>5. linn<br>6. ullin<br>7.  ullin<br>8. r ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Kannada,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakh,ullr ullinn,1. ullr<br>2. Linn,,,,,,,,,,,,,,,,,,,,,,,,,
Khmer,ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Kinyarwanda,ullr,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,ìš¸ë¥´ ìš¸ë¦°,1. wool<br>2. Ullr<br>3. Ullr<br>4. ulrr ul<br>5. Howl, howl<br>6. rang<br>7.  rang<br>8. leulin<br>9. Howl, howl,,,,,,,,,,,,,,,,,,,,,,,
Kurdish (Kurmanj),ullr ullinn,1. ullr<br>2. linn<br>3. ullin<br>4.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Kurdish (Sorani),ullr ullinn,1. ullr,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz,ullr ullinn,1. ullr<br>2. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Lao,ullr ullinn,1. Ull<br>2. ullr<br>3. linn<br>4. Ullin<br>5.  Ullin<br>6. lr ullin<br>7. llr ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Latin,ullr ullinn,1. street<br>2. any<br>3. all<br>4. all<br>5. all u<br>6. all street<br>7. ull ull<br>8. all<br>9. all<br>10. no<br>11. Linn<br>12. ullin<br>13.  ullin,,,,,,,,,,,,,,,,,,,,,,,,,
Latvian,ullr ullinn,1. and<br>2. st<br>3. ullr<br>4. linn,,,,,,,,,,,,,,,,,,,,,,,,,
Lingala,ullr ullinn na likambo yango,1. ullr<br>2. ullr ullinn<br>3. ullr the ullinn<br>4. ullr the ullinn<br>5. ullr ullinn to l<br>6. ullr ullinn and li<br>7. ullr ullinn is a lick<br>8. ullr ullinn and lick<br>9. ullr ullinn is a lick<br>10. ullr ullinn the lead<br>11. ullr ullinn in case<br>12. ullr ullinn in case<br>13. ullr ullinn y<br>14. ullr ullinn in the case of<br>15. ullr ullinn in case yan<br>16. ullr ullinn on the matter yang<br>17. ullr ullinn<br>18. to<br>19. it<br>20.  it<br>21. o it<br>22. bo it<br>23. mbo it<br>24. ambo it<br>25. the thing is<br>26. the issue<br>27. the fact of the matter<br>28.  the fact of the matter<br>29. a the matter<br>30. in this regard<br>31.  in this regard<br>32. n in the matter<br>33. nn in the matter<br>34. inn in the matter<br>35. linn in the matter<br>36. llinn in the matter<br>37. ullinn in the matter<br>38.  ullinn in the matter<br>39. r ullinn in the case<br>40. lr ullinn in the case<br>41. llr ullinn in the case<br>42. ullr ullinn,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuanian,ullr ullinn,1. st<br>2. ullr<br>3. linn,,,,,,,,,,,,,,,,,,,,,,,,,
